,name,birthplace
0,Etta James,Los Angeles
1,Ella Fitzgerald,Newport News
2,Sam Cooke,NaN
3,Neil Sedaka,Brooklyn
4,Dean Martin,Steubenville
5,Eddie Cochran,Albert Lea
6,John Coltrane,Hamlet
7,Brenda Lee,Atlanta
8,Frank Sinatra,Hoboken
9,Bill Evans,Meridian
10,Elvis Presley,Tupelo
11,Patti Page,Muskogee
12,Aaron Copland,Brooklyn
13,Sheldon Allman,Chicago
14,Dinah Washington,Tuscaloosa
15,Frankie Avalon,NaN
16,Quincy Jones,Chicago
17,The Ventures,NaN
18,Charles Mingus,NaN
19,James Darren,NaN
20,The Moody Blues,NaN
21,The Everly Brothers,NaN
22,Ray Conniff,Attleboro
23,Etta Jones,NaN
24,Joan Baez,Staten Island
25,Victor Herbert,Dublin
26,Bobby Darin,The Bronx
27,Peggy Lee,Jamestown
28,Stanley Turrentine,Pittsburgh
29,Floyd Cramer,Shreveport
30,Tex Williams,Illinois
31,Miles Davis,Alton
32,Javier Solís,NaN
33,Gerrianne Raphael,NaN
34,The Louvin Brothers,NaN
35,Ahmad Jamal,Pittsburgh
36,Fats Domino,New Orleans
37,Bo Diddley,McComb
38,Vic Damone,Brooklyn
39,Ike & Tina Turner,NaN
40,Hank Mobley,Eastman
41,Johnny Burnette,Memphis
42,Pyotr Ilyich Tchaikovsky,Votkinsk
43,Sonny Clark,Herminie
44,Dion & The Belmonts,NaN
45,Mel Tormé,Chicago
46,The Flamingos,NaN
47,Nina Simone,Tryon
48,Shankar Mahadevan,Chembur
49,Sonny Stitt,NaN
50,Chuck Berry,St. Louis
51,Lowell Mason,Medfield
52,Leonard Bernstein,Lawrence
53,Annette Funicello,Utica
54,Bob Wills,Limestone County
55,The Brothers Four,NaN
56,Enrique Guzman,NaN
57,John Lee Hooker,Clarksdale
58,Jim & Jesse,NaN
59,Tina Brooks,Fayetteville
60,The Platters,NaN
61,Ralph Vaughan Williams,Down Ampney
62,King Pleasure,NaN
63,Roy Hamilton,NaN
64,Christoph Willibald Gluck,NaN
65,Bobby Vee,Fargo
66,Conway Twitty,Friars Point
67,Hariharan,Thiruvananthapuram
68,La Sonora Matancera,NaN
69,Blossom Dearie,NaN
70,La Sonora Santanera,NaN
71,Los Teen Tops,NaN
72,Mykola Dmytrovych Leontovych,NaN
73,John Philip Sousa,"Washington, D.C."
74,Los Cinco Latinos,NaN
75,Nat King Cole,Montgomery
76,Bing Crosby,Tacoma
77,Alvin & The Chipmunks,NaN
78,Robert Lowry,Philadelphia
79,Richard Burton,Pontrhydyfen
80,Eden Ahbez,Brooklyn
81,Oscar Peterson,Montreal
82,Bobby Timmons,Philadelphia
83,El Palomo Y El Gorrion,NaN
84,Charles Aznavour,Paris
85,Gregorian Chant,NaN
86,Mohammed Rafi,Kotla Sultan Singh
87,Dale Evans,Uvalde
88,K. S. Chithra,NaN
89,Samuel Barber,West Chester
90,Jimmy Reed,Mississippi
91,Robert Goulet,NaN
92,The Fendermen,NaN
93,The Three Suns,NaN
94,Zacherley,NaN
95,Kenneth J. Alford,London
96,William Henry Monk,Greater London
97,Johnny Cash,Kingsland
98,Julie Andrews,Walton-on-Thames
99,Arthur Sullivan,London
100,Lewis D. Edwards,NaN
101,Sadhana Sargam,Dabhol
102,WILLIAM G. TOMER,NaN
103,James Brown & The Famous Flames,NaN
104,Marty Robbins,Glendale
105,Julie London,Santa Rosa
106,Devanand Sharma,NaN
107,Johann Pachelbel,Nuremberg
108,The Olympics,NaN
109,Margaret Whiting,NaN
110,Nat Adderley,Tampa
111,Vanita Mishra,NaN
112,Muddy Waters,Rolling Fork
113,Don Ralke,NaN
114,Claudio Villa,Lomazzo
115,Arthur Lyman,NaN
116,The Staple Singers,NaN
117,Slim Whitman,Tampa
118,Gordon Jenkins,Webster Groves
119,Carlos Di Sarli,NaN
120,Bill Evans Trio,NaN
121,Tom Lehrer,New York City
122,Ornette Coleman,Fort Worth
123,Emile Ford & The Checkmates,NaN
124,Los Blue Caps,NaN
125,Ludwig van Beethoven,Mechelen
126,Edvard Grieg,Bergen
127,Anita O'Day,NaN
128,Johann Sebastian Bach,Eisenach
129,Sammy Davis Jr.,New York City
130,Jerry Lee Lewis,Ferriday
131,Ritchie Valens,Pacoima
132,Art Farmer,Council Bluffs
133,Jackie Wilson,NaN
134,Aarti Mukherji,NaN
135,Miklós Rózsa,Budapest
136,Franz von Suppé,Split
137,Roddy McDowall,London
138,Nikolai Rimsky-Korsakov,Tikhvin
139,The Camelot Orchestra,NaN
140,Nancy Wilson,San Francisco
141,The Camelot Ensemble,NaN
142,Mary Sue Berry,NaN
143,La Playa Sextet,NaN
144,J.J. Johnson,NaN
145,Dominic Behan,Dublin
146,Charles Strouse,New York City
147,John Francis Wade,England
148,Stan Getz,NaN
149,Maurice Evans,NaN
150,The Soul Stirrers,NaN
151,Kitty Kallen,NaN
152,Jean Sibelius,Hämeenlinna
153,Woody Guthrie,Okemah
154,Remo Giazotto,Rome
155,Johnnie Taylor,NaN
156,Connie Francis,Newark
157,Brook Benton,Camden
158,Camille Saint-Saëns,Paris
