,name,birthplace,birth_place
0,Etta James,Los Angeles,
1,Ella Fitzgerald,Newport News,
2,Sam Cooke,"Clarksdale, Mississippi, U.S.",
3,Neil Sedaka,Brooklyn,
4,Dean Martin,Steubenville,
5,Eddie Cochran,Albert Lea,
6,John Coltrane,Hamlet,
7,Brenda Lee,Atlanta,
8,Frank Sinatra,Hoboken,
9,Bill Evans,Meridian,
10,Elvis Presley,Tupelo,
11,Patti Page,Muskogee,
12,Aaron Copland,Brooklyn,
13,Sheldon Allman,Chicago,
14,Dinah Washington,Tuscaloosa,
15,Frankie Avalon,"Philadelphia, Pennsylvania, U.S.",
16,Quincy Jones,Chicago,
17,The Ventures,"Tacoma, Washington, U.S.",
18,Charles Mingus,"Nogales, Arizona, U.S.",
19,James Darren,"Philadelphia, Pennsylvania, U.S.",
20,The Moody Blues,"Birmingham, England",
21,The Everly Brothers,"Muhlenberg County, Kentucky",
22,Ray Conniff,Attleboro,
23,Etta Jones,"Aiken, South Carolina|Aiken, South Carolina, U.S.",
24,Joan Baez,Staten Island,
25,Victor Herbert,Dublin,
26,Bobby Darin,The Bronx,
27,Peggy Lee,Jamestown,
28,Stanley Turrentine,Pittsburgh,
29,Floyd Cramer,Shreveport,
30,Tex Williams,Illinois,
31,Miles Davis,Alton,
32,Javier Solís,"Mexico City, México",
33,Gerrianne Raphael,"New York City, US",
34,The Louvin Brothers,"Henagar, Alabama, U.S.",
35,Ahmad Jamal,Pittsburgh,
36,Fats Domino,New Orleans,
37,Bo Diddley,McComb,
38,Vic Damone,Brooklyn,
39,Ike & Tina Turner,,
40,Hank Mobley,Eastman,
41,Johnny Burnette,Memphis,
42,Pyotr Ilyich Tchaikovsky,Votkinsk,
43,Sonny Clark,Herminie,
44,Dion & The Belmonts,,
45,Mel Tormé,Chicago,
46,The Flamingos,"Chicago, Illinois",
47,Nina Simone,Tryon,
48,Shankar Mahadevan,Chembur,
49,Sonny Stitt,"Boston, Massachusetts, U.S.",
50,Chuck Berry,St. Louis,
51,Lowell Mason,Medfield,
52,Leonard Bernstein,Lawrence,
53,Annette Funicello,Utica,
54,Bob Wills,Limestone County,
55,The Brothers Four,"Seattle, Washington (state)|Washington, United States",
56,Enrique Guzman,,
57,John Lee Hooker,Clarksdale,
58,Jim & Jesse,,
59,Tina Brooks,Fayetteville,
60,The Platters,"Los Angeles, California, U.S.",
61,Ralph Vaughan Williams,Down Ampney,
62,King Pleasure,"Oakdale, Tennessee, United States",
63,Roy Hamilton,"Leesburg, Georgia, United States",
64,Christoph Willibald Gluck,,
65,Bobby Vee,Fargo,
66,Conway Twitty,Friars Point,
67,Hariharan,Thiruvananthapuram,
68,La Sonora Matancera,,
69,Blossom Dearie,"East Durham, New York, U.S.",
70,La Sonora Santanera,,
71,Los Teen Tops,,
72,Mykola Dmytrovych Leontovych,,
73,John Philip Sousa,"Washington, D.C.",
74,Los Cinco Latinos,,
75,Nat King Cole,Montgomery,
76,Bing Crosby,Tacoma,
77,Alvin & The Chipmunks,,
78,Robert Lowry,Philadelphia,
79,Richard Burton,Pontrhydyfen,
80,Eden Ahbez,Brooklyn,
81,Oscar Peterson,Montreal,
82,Bobby Timmons,Philadelphia,
83,El Palomo Y El Gorrion,,
84,Charles Aznavour,Paris,
85,Gregorian Chant,,
86,Mohammed Rafi,Kotla Sultan Singh,
87,Dale Evans,Uvalde,
88,K. S. Chithra,"Thiruvananthapuram, Kerala, India",
89,Samuel Barber,West Chester,
90,Jimmy Reed,Mississippi,
91,Robert Goulet,,
92,The Fendermen,,
93,The Three Suns,United States,
94,Zacherley,,
95,Kenneth J. Alford,London,
96,William Henry Monk,Greater London,
97,Johnny Cash,Kingsland,
98,Julie Andrews,Walton-on-Thames,
99,Arthur Sullivan,London,
100,Lewis D. Edwards,,
101,Sadhana Sargam,Dabhol,
102,WILLIAM G. TOMER,,
103,James Brown & The Famous Flames,,
104,Marty Robbins,Glendale,
105,Julie London,Santa Rosa,
106,Devanand Sharma,,
107,Johann Pachelbel,Nuremberg,
108,The Olympics,"Los Angeles, California|Los Angeles, California, United States","Los Angeles, California|Los Angeles, California, United States"
109,Margaret Whiting,"Detroit|Detroit, Michigan, United States",
110,Nat Adderley,Tampa,
111,Vanita Mishra,,
112,Muddy Waters,Rolling Fork,
113,Don Ralke,,
114,Claudio Villa,Lomazzo,
115,Arthur Lyman,"Oahu, Hawaii",
116,The Staple Singers,"Chicago, Illinois",
117,Slim Whitman,Tampa,
118,Gordon Jenkins,Webster Groves,
119,Carlos Di Sarli,,
120,Bill Evans Trio,,
121,Tom Lehrer,New York City,
122,Ornette Coleman,Fort Worth,
123,Emile Ford & The Checkmates,"Castries, Saint Lucia, Caribbean|West Indies",
124,Los Blue Caps,,
125,Ludwig van Beethoven,Mechelen,
126,Edvard Grieg,Bergen,
127,Anita O'Day,"Kansas City, Missouri, U.S.",
128,Johann Sebastian Bach,Eisenach,
129,Sammy Davis Jr.,New York City,
130,Jerry Lee Lewis,Ferriday,
131,Ritchie Valens,Pacoima,
132,Art Farmer,Council Bluffs,
